2018-04-13 02:58:18,459 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 25 resources
2018-04-13 02:58:18,465 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:58:18,466 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:58:27,973 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:58:27,978 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 25 resources
2018-04-13 02:58:27,984 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:58:27,985 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:58:30,193 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:58:30,198 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 25 resources
2018-04-13 02:58:30,204 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:58:30,205 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:59:00,163 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:59:00,164 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-13 02:59:00,169 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:59:00,170 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 03:00:07,038 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 03:00:07,046 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 25 resources
2018-04-13 03:00:07,053 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 03:00:07,054 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 03:00:12,092 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 03:00:12,098 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 25 resources
2018-04-13 03:00:12,104 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 03:00:12,105 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 03:02:19,130 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 03:02:19,131 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-13 03:02:19,134 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 03:02:19,136 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 03:02:40,974 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 03:02:40,977 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-13 03:02:40,981 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 03:02:40,982 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
